"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 11 11:56:17 WAT 2023","Fri Aug 11 11:56:18 WAT 2023","442","Sales CRM","Notes","","","","Update a note",""
"passed","Fri Aug 11 11:56:48 WAT 2023","Fri Aug 11 11:56:48 WAT 2023","544","Contact management","Lists","","","","Add existing contacts to a list",""
"passed","Fri Aug 11 11:56:59 WAT 2023","Fri Aug 11 11:57:00 WAT 2023","1125","Transactional","Statistics","","","","Get all your transactional email activity (unaggregated events)",""
"passed","Fri Aug 11 11:56:46 WAT 2023","Fri Aug 11 11:56:47 WAT 2023","391","Contact management","Lists","","","","Get all the lists",""
"passed","Fri Aug 11 11:57:09 WAT 2023","Fri Aug 11 11:57:09 WAT 2023","376","Account","Reseller","IP management","","","Associate a dedicated IP to the child",""
"failed","Fri Aug 11 11:56:15 WAT 2023","Fri Aug 11 11:56:15 WAT 2023","349","Sales CRM","Tasks","","","","Get all task types",""
"passed","Fri Aug 11 11:57:07 WAT 2023","Fri Aug 11 11:57:07 WAT 2023","460","Account","Webhooks","","","","Get a webhook details",""
"failed","Fri Aug 11 11:56:28 WAT 2023","Fri Aug 11 11:56:29 WAT 2023","1250","Marketing","SMS Campaigns","","","","Send an SMS campaign's report",""
"passed","Fri Aug 11 11:56:23 WAT 2023","Fri Aug 11 11:56:23 WAT 2023","274","Marketing","Email Campaigns","","","","Return all your created email campaigns",""
"passed","Fri Aug 11 11:56:57 WAT 2023","Fri Aug 11 11:56:57 WAT 2023","264","Transactional","Templates","","","","Send a template to your test list",""
"failed","Fri Aug 11 11:56:20 WAT 2023","Fri Aug 11 11:56:20 WAT 2023","286","Marketing","Email Campaigns","","","","Update an email campaign",""
"passed","Fri Aug 11 11:56:30 WAT 2023","Fri Aug 11 11:56:30 WAT 2023","515","Conversations","Messages","","","","Get a message",""
"failed","Fri Aug 11 11:56:44 WAT 2023","Fri Aug 11 11:56:44 WAT 2023","658","Contact management","Folders","","","","Returns a folder's details",""
"failed","Fri Aug 11 11:56:17 WAT 2023","Fri Aug 11 11:56:17 WAT 2023","257","Sales CRM","Notes","","","","Get a note",""
"failed","Fri Aug 11 11:56:37 WAT 2023","Fri Aug 11 11:56:39 WAT 2023","1358","Contact management","Contacts","","","","Import contacts",""
"passed","Fri Aug 11 11:56:47 WAT 2023","Fri Aug 11 11:56:47 WAT 2023","285","Contact management","Lists","","","","Create a list",""
"failed","Fri Aug 11 11:56:20 WAT 2023","Fri Aug 11 11:56:21 WAT 2023","264","Marketing","Email Campaigns","","","","Delete an email campaign",""
"passed","Fri Aug 11 11:56:24 WAT 2023","Fri Aug 11 11:56:24 WAT 2023","261","Marketing","SMS Campaigns","","","","Creates an SMS campaign",""
"passed","Fri Aug 11 11:56:49 WAT 2023","Fri Aug 11 11:56:49 WAT 2023","358","Contact management","Lists","","","","Get a list's details",""
"passed","Fri Aug 11 11:56:55 WAT 2023","Fri Aug 11 11:56:55 WAT 2023","285","Transactional","Templates","","","","Get the list of email templates",""
"failed","Fri Aug 11 11:56:22 WAT 2023","Fri Aug 11 11:56:22 WAT 2023","321","Marketing","Email Campaigns","","","","Send the report of a campaign",""
"passed","Fri Aug 11 11:56:39 WAT 2023","Fri Aug 11 11:56:40 WAT 2023","418","Contact management","Contacts","","","","Update a contact",""
